,Numero de Armónico,E.C.M.,ECM%
0,1,1.9763092093271442,64.2762933813538
1,2,1.932768348019068,62.86019656699571
2,3,0.9823491454457174,31.94933342292547
3,4,0.9797659067456904,31.865317719424528
4,5,0.9754331138212473,31.724400565439815
5,6,0.9732969619172509,31.654925644288607
6,7,0.911775739063563,29.654046353405988
7,8,0.8889339871153855,28.911154936093297
8,9,0.8781384499138356,28.560047369978992
9,10,0.874408535458606,28.438737873124843
10,11,0.8676370673543926,28.21850671272
11,12,0.8654947890060931,28.148832538774972
12,13,0.865261803983902,28.141255073887823
13,14,0.8650045435875341,28.132888091315305
14,15,0.8645800971869115,28.119083651583754
15,16,0.8644204938579454,28.113892808800216
16,17,0.8635401586645289,28.085261315864336
17,18,0.8633846571107345,28.08020387675219
18,19,0.8632235309829013,28.07496350737318
19,20,0.8630873182189668,28.070533405273967
20,21,0.859900120155868,27.9668748903
21,22,0.85547560331202,27.82297456266719
22,23,0.8553582174928697,27.819156776809134
23,24,0.8552010525368715,27.814045238203068
24,25,0.8550220319448993,27.80822288002318
25,26,0.8547190045133602,27.798367397895042
26,27,0.8541816685170862,27.780891404777226
27,28,0.8536551682326112,27.763767825840002
28,29,0.8533526490120481,27.753928872460314
29,30,0.8528179075223928,27.736537261517025
30,31,0.8526088053119786,27.7297365468516
31,32,0.852518600157837,27.726802768612473
32,33,0.8524455602691793,27.724427263155256
33,34,0.8523469651202035,27.721220613764746
34,35,0.8522736176959744,27.71883510620537
35,36,0.8521652827313749,27.71531168490308
36,37,0.8500811832130617,27.647529684271383
37,38,0.8500181459852985,27.64547949934762
38,39,0.8499597998461775,27.64358188457251
39,40,0.8498644646803445,27.640481260915177
40,41,0.8495495752529463,27.630239986360262
41,42,0.8494945688631987,27.62845099158729
42,43,0.8494410133382893,27.626709183870645
43,44,0.8492097118765931,27.619186474093578
44,45,0.8488844813059742,27.60860887040938
45,46,0.8488274106798293,27.60675273965199
46,47,0.8487769020975663,27.60511002886742
47,48,0.8487265310255515,27.603471790383544
48,49,0.8486780191861453,27.601894020464023
49,50,0.8483490608383631,27.591195176794976
50,51,0.8482941180780936,27.58940825146892
51,52,0.8482514320997183,27.588019958353467
52,53,0.8482106518295659,27.58669364534732
53,54,0.8481698888905246,27.585367896007828
54,55,0.84810182001005,27.583154064634236
55,56,0.8474716532352755,27.562658899048092
56,57,0.8474337250374372,27.561425345128406
57,58,0.8473802320897666,27.559685572636283
58,59,0.8458879644407102,27.511151956154826
59,60,0.8458322571672982,27.509340166262636
60,61,0.8457886437137733,27.507921708502632
61,62,0.8457448725507023,27.506498121492097
62,63,0.8457056015249986,27.505220894245667
63,64,0.8456545569796504,27.503560752119714
64,65,0.8455617196863375,27.500541367767532
65,66,0.8453744181291432,27.49444968444987
66,67,0.845310378685027,27.492366904043564
67,68,0.8452768038451685,27.49127493612336
68,69,0.8450628067112692,27.484315021907328
69,70,0.8450184401341094,27.482872070006685
70,71,0.8447486740373329,27.474098359547355
71,72,0.8447157245987992,27.47302673180411
72,73,0.8446885377059288,27.472142521633952
73,74,0.8446560983176875,27.47108748245999
74,75,0.8445154619717103,27.46651351043605
75,76,0.8444906087312489,27.465705198574813
76,77,0.8444528663766406,27.464477688908683
77,78,0.8443906955259849,27.462455681513454
78,79,0.8443497451837223,27.461123837184182
79,80,0.8442858018590548,27.459044182909075
80,81,0.8442615819369204,27.458256468712612
81,82,0.8441918777792878,27.45598945256719
82,83,0.8441694775995386,27.455260922578788
83,84,0.844146282573125,27.454506541475006
84,85,0.8441250521435859,27.45381605573966
85,86,0.8440295861488522,27.45071117708176
86,87,0.8439816702343861,27.449152788666968
87,88,0.8439412440900724,27.447837993036856
88,89,0.8439185591558376,27.44710020186464
89,90,0.8438996541116099,27.446485345564103
90,91,0.8438727789959176,27.44561127544757
91,92,0.8438489383458996,27.44483589646956
92,93,0.8438013768613193,27.44328903531944
93,94,0.8437611782863097,27.441981641016643
94,95,0.8436657737203135,27.4388787602301
95,96,0.8436449309039817,27.43820088099384
96,97,0.843626665019554,27.437606812342636
97,98,0.8435540004744632,27.435243514334083
98,99,0.8435109795396595,27.433844327296992
99,100,0.8434911586934599,27.433199686003324
100,101,0.8434166531464362,27.43077651235396
101,102,0.8433974506214676,27.43015198096853
102,103,0.8433545808917668,27.42875771163536
103,104,0.8433374814191378,27.428201578660726
104,105,0.8433202174721944,27.427640096422312
105,106,0.8431469663333944,27.42200538047118
106,107,0.8431148864362386,27.420962033169303
107,108,0.8430991122704,27.4204490036765
108,109,0.8430498183973243,27.41884579936375
109,110,0.843006673300542,27.417442574157057
110,111,0.8429812927554311,27.416617112556196
111,112,0.8429665267592718,27.416136872168344
112,113,0.8429158885079183,27.414489944104176
113,114,0.8428981943400399,27.41391446961854
114,115,0.8428492947693494,27.41232408935968
115,116,0.842822831608286,27.411463417408
116,117,0.8427437337143061,27.40889088502526
117,118,0.8427246614977354,27.408270591711876
118,119,0.842710459364211,27.4078086900536
119,120,0.8426740245099137,27.406623704742056
120,121,0.8426598979016373,27.406164259421573
121,122,0.842646781146011,27.40573765794197
122,123,0.8418769042404854,27.38069864399944
123,124,0.8418632283862817,27.380253858733607
124,125,0.8418495890223293,27.379810260254782
125,126,0.8418072911663012,27.37843459019737
126,127,0.8417748493315643,27.377379471455054
127,128,0.8417586805966412,27.37685360923439
128,129,0.8417167252699441,27.375489079395155
129,130,0.8417041400180346,27.375079764223116
130,131,0.8416823533251185,27.3743711869119
131,132,0.8416624230190813,27.373722985612233
132,133,0.8416206672006639,27.372364944460415
133,134,0.8416083519705636,27.371964411315474
134,135,0.8415885167040312,27.37131930102357
135,136,0.8415704904727846,27.37073302670845
136,137,0.8415602977088081,27.370401523376565
137,138,0.8415482517238384,27.37000974699849
138,139,0.8415181705136561,27.36903140379095
139,140,0.8415073011203267,27.368677894172507
140,141,0.8414952035898647,27.368284441359812
141,142,0.8413390144630302,27.363204640035192
142,143,0.8413276430215867,27.362834802105514
143,144,0.8412928535333861,27.361703329692382
144,145,0.8412218942803843,27.35939549357922
145,146,0.841196927916454,27.358583502558236
146,147,0.8411768242268072,27.35792966223422
147,148,0.8410306637831633,27.353176027776584
148,149,0.8410134357005161,27.352615711966994
149,150,0.8410037947100404,27.352302154184947
150,151,0.8409804543938127,27.351543047762544
151,152,0.8409617240597453,27.350933873630296
152,153,0.8409476355187117,27.350475666385943
153,154,0.8409354508493326,27.35007937951946
154,155,0.8409146492536488,27.349402840918785
155,156,0.8408082101812494,27.345941080475384
156,157,0.8407937759457699,27.345471630072566
157,158,0.8406936115841381,27.342213944552395
158,159,0.8405334669601497,27.33700549701476
159,160,0.8405185037800111,27.336518843533632
160,161,0.8404980917999062,27.33585497655597
161,162,0.8404676514562802,27.334864953108074
162,163,0.8404555419646363,27.334471111277086
163,164,0.8404420938814097,27.334033733897666
164,165,0.8404196527917449,27.333303873379744
165,166,0.8404051611411961,27.332832555643705
166,167,0.840396793447502,27.33256040980121
167,168,0.8403407858550481,27.330738852512926
168,169,0.840314728319177,27.329891372871305
169,170,0.8402528062873217,27.32787745790926
170,171,0.8402412706166467,27.327502278686715
171,172,0.8402172177772608,27.326719998589187
172,173,0.8401982491722579,27.326103075076187
173,174,0.8401901984450205,27.325841238060296
174,175,0.8401802699536508,27.325518329771903
175,176,0.8401727927046552,27.32527514421781
176,177,0.8401654651251339,27.325036826423784
177,178,0.840152362220359,27.324610675420953
178,179,0.8401377496825791,27.324135426021236
179,180,0.8401262529716204,27.3237615139011
180,181,0.8401166296080179,27.323448529404892
181,182,0.8400873423365222,27.322496007782206
182,183,0.8400769618328029,27.32215839851572
183,184,0.8400677599968955,27.321859123533027
184,185,0.8400489748982611,27.321248168270902
185,186,0.8399176727669819,27.31697777663792
186,187,0.8399091018568738,27.316699021506864
187,188,0.8399011408508835,27.31644010253091
188,189,0.8398926430178911,27.31616372411606
189,190,0.8398851126682612,27.31591881154884
190,191,0.8398219788061265,27.313865483746834
191,192,0.8398152951208077,27.313648107581002
192,193,0.839807363215021,27.313390135042592
193,194,0.8397882116422839,27.31276726079692
194,195,0.8397600474208116,27.311851264578486
195,196,0.8397313106971677,27.310916648643367
196,197,0.8396961888349591,27.309774366297688
197,198,0.8396868826989031,27.30947169911962
198,199,0.8396744877738724,27.309068574024643
199,200,0.8396489376733024,27.308237597903894
